O*NET-SOC Code,Title,Reported Job Title,Shown in My Next Move
11-1011.00,Chief Executives,Chief Diversity Officer (CDO),N
11-1011.00,Chief Executives,Chief Executive Officer (CEO),Y
11-1011.00,Chief Executives,Chief Financial Officer (CFO),Y
11-1011.00,Chief Executives,Chief Nursing Officer,N
11-1011.00,Chief Executives,Chief Operating Officer (COO),N
11-1011.00,Chief Executives,Executive Director,N
11-1011.00,Chief Executives,Executive Vice President (EVP),N
11-1011.00,Chief Executives,Operations Vice President,N
11-1011.00,Chief Executives,President,Y
11-1011.00,Chief Executives,Vice President,Y
11-1011.03,Chief Sustainability Officers,Corporate Sustainability Process Manager,Y
11-1011.03,Chief Sustainability Officers,Director of Sustainability,Y
11-1011.03,Chief Sustainability Officers,Director of Sustainability Programs,N
11-1011.03,Chief Sustainability Officers,Director of Sustainable Design,Y
11-1011.03,Chief Sustainability Officers,"Supply Chain Manager, Sustainability and Energy",N
11-1011.03,Chief Sustainability Officers,Sustainability Coordinator,N
11-1011.03,Chief Sustainability Officers,Sustainability Director,Y
11-1011.03,Chief Sustainability Officers,"Vice President, Corporate Social Responsibility and Sustainability (VP CSR and Sustainability)",N
11-1021.00,General and Operations Managers,Business Manager,N
11-1021.00,General and Operations Managers,Facilities Manager,N
11-1021.00,General and Operations Managers,Facility Manager,N
11-1021.00,General and Operations Managers,General Manager (GM),Y
11-1021.00,General and Operations Managers,Operations Director,N
11-1021.00,General and Operations Managers,Operations Manager,Y
11-1021.00,General and Operations Managers,Plant Manager,Y
11-1021.00,General and Operations Managers,Plant Superintendent,N
11-1021.00,General and Operations Managers,Production Manager,N
11-1021.00,General and Operations Managers,Store Manager,Y
11-2011.00,Advertising and Promotions Managers,Account Executive,N
11-2011.00,Advertising and Promotions Managers,Advertising Director,Y
11-2011.00,Advertising and Promotions Managers,Advertising Manager,Y
11-2011.00,Advertising and Promotions Managers,Advertising Sales Manager,N
11-2011.00,Advertising and Promotions Managers,Classified Advertising Manager,Y
11-2011.00,Advertising and Promotions Managers,Marketing and Promotions Manager,N
11-2011.00,Advertising and Promotions Managers,Marketing Director,N
11-2011.00,Advertising and Promotions Managers,Marketing Manager,N
11-2011.00,Advertising and Promotions Managers,Promotions Director,Y
11-2011.00,Advertising and Promotions Managers,Retail Advertising Sales Manager,N
11-2021.00,Marketing Managers,Account Supervisor,N
11-2021.00,Marketing Managers,Brand Manager,Y
11-2021.00,Marketing Managers,Business Development Director,N
11-2021.00,Marketing Managers,Business Development Manager,Y
11-2021.00,Marketing Managers,Commercial Lines Manager,N
11-2021.00,Marketing Managers,Market Development Executive,N
11-2021.00,Marketing Managers,Marketing Coordinator,N
